Input Video,Detection Result,flag,username,timestamp
C:\Users\Arunav\Downloads\Accident-Detection-with-Resnet50-main\Accident-Detection-with-Resnet50-main\flagged\Input Video\8d317f5755e59c54859167ef2d44cc66b483272f\tmp2h6pa6xk.mp4,No Accident Detected.,,,2023-10-31 02:41:51.272214
C:\Users\Arunav\Downloads\Accident-Detection-with-Resnet50-main\Accident-Detection-with-Resnet50-main\flagged\Input Video\2c5bfdfdf908064a3e43cb71c0ee2e760664cb2a\tmph1j7flth.mp4,Accident Detected!,,,2023-10-31 02:42:17.157808
